Run,Distance,Time (s)
1,6229,201.80131554603577
2,6102,200.05892777442932
3,6694,200.30681920051575
4,6356,199.87331986427307
5,7152,199.98759937286377
6,6758,200.6814320087433
7,6826,202.21799731254578
8,5998,201.08627367019653
9,7142,201.07302451133728
10,6894,203.29101181030273
11,5966,201.4879777431488
12,7042,202.2486515045166
13,6452,202.0658314228058
14,6680,201.03046441078186
15,6553,202.73450899124146
16,6750,200.55643701553345
17,5918,200.88023805618286
18,6308,201.3079400062561
19,6095,200.8062551021576
20,6329,199.66093373298645
21,6097,200.99806714057922
22,6215,201.2528040409088
23,6947,200.64250659942627
24,7179,199.56857919692993
25,6579,202.8287537097931
26,6745,202.00718450546265
27,6805,202.5128951072693
28,5770,204.75428891181946
29,6630,204.67789149284363
30,5974,206.40657901763916
